,State,1,Crop,3,District,Year,Season,16,Area (ha),22,23,Production (t),27,29,Yield (t/ha)
824,,,,,,2011-12,Rabi,,61.0,,,87.0,,,1.4262295081967213
825,,,,,,2012-13,Rabi,,84.0,,,125.0,,,1.488095238095238
826,UTTAR PRADESH,,,,,,,,,,,,,,
827,,,Peas & Beans (Pulses),,,,,,,,,,,,
828,,,,,G.BUDDHA NGR.,,,,,,,,,,
829,,,,,,2013-14,Rabi,,59.0,,,59.0,,,1.0
830,,,,,GARHWAL,,,,,,,,,,
831,,,,,,1998-99,Rabi,,28.0,,,29.0,,,1.0357142857142856
832,,,,,,1999-00,Whole year,,26.0,,,36.0,,,1.3846153846153846
833,,,,,GHAZIABAD,,,,,,,,,,
834,,,,,,1998-99,Rabi,,851.0,,,872.0,,,1.0246768507638073
835,,,,,,1999-00,Whole year,,720.0,,,1302.0,,,1.8083333333333333
836,,,,,,2000-01,Rabi,,351.0,,,362.0,,,1.0313390313390314
837,,,,,,2001-02,Rabi,,736.0,,,890.0,,,1.2092391304347827
838,,,,,,2002-03,Rabi,,540.0,,,664.0,,,1.2296296296296296
839,,,,,,2003-04,Rabi,,769.0,,,1055.0,,,1.3719115734720415
840,,,,,,2008-09,Rabi,,127.0,,,153.0,,,1.204724409448819
841,,,,,,2009-10,Rabi,,10.0,,,13.0,,,1.3
842,,,,,,2011-12,Rabi,,2.0,,,3.0,,,1.5
843,,,,,,2013-14,Rabi,,2.0,,,2.0,,,1.0
844,,,,,GHAZIPUR,,,,,,,,,,
845,,,,,,1998-99,Rabi,,4671.0,,,4891.0,,,1.047099122243631
846,,,,,,1999-00,Whole year,,5597.0,,,5804.0,,,1.036984098624263
847,,,,,,2000-01,Rabi,,5675.0,,,6730.0,,,1.1859030837004405
848,,,,,,2001-02,Rabi,,5503.0,,,4463.0,,,0.8110121751771762
849,,,,,,2002-03,Rabi,,5021.0,,,6226.0,,,1.2399920334594703
850,,,,,,2003-04,Rabi,,4034.0,,,4470.0,,,1.1080813088745662
851,,,,,,2008-09,Rabi,,4726.0,,,5411.0,,,1.1449428692340247
852,,,,,,2009-10,Rabi,,4953.0,,,5592.0,,,1.1290127195639006
853,,,,,,2010-11,Rabi,,3581.0,,,5916.0,,,1.652052499301871
854,,,,,,2011-12,Rabi,,3687.0,,,6460.0,,,1.752101979929482
855,,,,,,2012-13,Rabi,,3573.0,,,4548.0,,,1.272879932829555
856,,,,,,2013-14,Rabi,,3591.0,,,3350.0,,,0.9328877749930382
857,,,,,GONDA,,,,,,,,,,
858,,,,,,1998-99,Rabi,,6095.0,,,6437.0,,,1.0561115668580805
859,,,,,,1999-00,Whole year,,5722.0,,,5453.0,,,0.9529884655714785
860,,,,,,2000-01,Rabi,,6292.0,,,6210.0,,,0.9869675778766688
861,,,,,,2001-02,Rabi,,3723.0,,,3987.0,,,1.0709105560032233
862,,,,,,2002-03,Rabi,,3763.0,,,2785.0,,,0.7401009832580389
863,,,,,,2003-04,Rabi,,3868.0,,,5307.0,,,1.3720268872802481
864,,,,,,2008-09,Rabi,,3672.0,,,4432.0,,,1.2069716775599129
865,,,,,,2009-10,Rabi,,3834.0,,,4920.0,,,1.2832550860719873
866,,,,,,2010-11,Rabi,,2916.0,,,3397.0,,,1.1649519890260631
867,,,,,,2011-12,Rabi,,3159.0,,,4523.0,,,1.4317822095599875
868,,,,,,2012-13,Rabi,,3155.0,,,4714.0,,,1.4941362916006338
